Sample,HighLow,Location,Group,Source,Place,Pre_algae,Post_algae,Date
RockwallSGD1,High,Rockwall,RockwallSGD,SGD,cage,1.6215,1.6127,29/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,ambient,cage,2.9492,2.9043,19/7/2022
RockwallSGD2,High,Rockwall,RockwallSGD,ambient,open,3.8556,3.8373,19/7/2022
RockwallSGD2,High,Rockwall,RockwallSGD,SGD,cage,2.4414,2.2984,19/7/2022
RockwallSGD2,High,Rockwall,RockwallSGD,SGD,open,3.1279,2.9079,19/7/2022
RockwallSGD2,High,Rockwall,RockwallSGD,ambient,open,1.806,2.0946,24/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,SGD,open,2.0282,2.2565,24/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,SGD,cage,2.8622,2.8997,24/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,ambient,cage,1.0317,1.1852,24/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,ambient,cage,3.5194,3.556,29/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,ambient,open,2.7395,2.6005,29/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,SGD,cage,2.1299,2.1204,29/6/2022
RockwallSGD2,High,Rockwall,RockwallSGD,SGD,open,1.9527,1.8414,29/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,ambient,cage,3.1903,2.9885,19/7/2022
RockwallSGD3,High,Rockwall,RockwallSGD,ambient,open,2.5893,2.4786,19/7/2022
RockwallSGD3,High,Rockwall,RockwallSGD,SGD,cage,2.9974,2.9542,19/7/2022
RockwallSGD3,High,Rockwall,RockwallSGD,SGD,open,3.9181,3.5421,19/7/2022
RockwallSGD3,High,Rockwall,RockwallSGD,SGD,open,2.5747,2.8429,24/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,ambient,open,2.29285,2.4352,24/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,SGD,cage,2.2137,2.3917,24/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,ambient,cage,1.9645,2.1886,24/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,ambient,cage,2.5284,2.4005,29/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,ambient,open,2.1544,2.2501,29/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,SGD,open,1.8388,1.8135,29/6/2022
RockwallSGD3,High,Rockwall,RockwallSGD,SGD,cage,1.865,1.9219,29/6/2022
SandAmbient1,Low,Sand,SandAmbient,ambient,cage,2.648,2.2817,19/7/2022
SandAmbient1,Low,Sand,SandAmbient,ambient,open,3.4296,3.3369,19/7/2022
SandAmbient1,Low,Sand,SandAmbient,SGD,cage,2.5674,2.2292,19/7/2022
SandAmbient1,Low,Sand,SandAmbient,SGD,open,4.5402,4.1771,19/7/2022
SandAmbient1,Low,Sand,SandAmbient,SGD,open,3.7334,4.5719,24/6/2022
SandAmbient1,Low,Sand,SandAmbient,ambient,open,3.7549,4.2708,24/6/2022
SandAmbient1,Low,Sand,SandAmbient,SGD,cage,2.4348,2.9485,24/6/2022
SandAmbient1,Low,Sand,SandAmbient,ambient,cage,2.0554,2.716,24/6/2022
SandAmbient1,Low,Sand,SandAmbient,ambient,cage,2.1678,2.0919,29/6/2022
SandAmbient1,Low,Sand,SandAmbient,ambient,open,1.6764,1.8147,29/6/2022
SandAmbient1,Low,Sand,SandAmbient,SGD,cage,2.7859,3.0619,29/6/2022
SandAmbient1,Low,Sand,SandAmbient,SGD,open,2.223,2.3697,29/6/2022
SandAmbient2,Low,Sand,SandAmbient,ambient,cage,2.3586,2.3464,19/7/2022
SandAmbient2,Low,Sand,SandAmbient,ambient,open,4.2381,4.1659,19/7/2022
SandAmbient2,Low,Sand,SandAmbient,SGD,cage,4.8111,4.5166,19/7/2022
SandAmbient2,Low,Sand,SandAmbient,SGD,open,3.8282,3.2983,19/7/2022
SandAmbient2,Low,Sand,SandAmbient,SGD,cage,3.1259,3.0959,24/6/2022
SandAmbient2,Low,Sand,SandAmbient,ambient,open,3.9906,3.52513,24/6/2022
SandAmbient2,Low,Sand,SandAmbient,ambient,cage,2.6931,2.3471,24/6/2022
SandAmbient2,Low,Sand,SandAmbient,SGD,open,2.5136,1.9458,24/6/2022
SandAmbient2,Low,Sand,SandAmbient,ambient,cage,3.5759,3.005,29/6/2022
SandAmbient2,Low,Sand,SandAmbient,ambient,open,1.5088,1.3706,29/6/2022
SandAmbient2,Low,Sand,SandAmbient,SGD,cage,2.301,2.3835,29/6/2022
SandAmbient2,Low,Sand,SandAmbient,SGD,open,2.1572,2.3108,29/6/2022
SandAmbient3,Low,Sand,SandAmbient,ambient,cage,2.7598,2.6897,19/7/2022
SandAmbient3,Low,Sand,SandAmbient,ambient,open,4.4118,4.3181,19/7/2022
SandAmbient3,Low,Sand,SandAmbient,SGD,cage,4.4772,4.1994,19/7/2022
SandAmbient3,Low,Sand,SandAmbient,SGD,open,4.5464,3.6866,19/7/2022
SandAmbient3,Low,Sand,SandAmbient,ambient,open,2.3919,2.3188,24/6/2022
SandAmbient3,Low,Sand,SandAmbient,SGD,open,2.2407,2.7187,24/6/2022
SandAmbient3,Low,Sand,SandAmbient,SGD,cage,1.572,2.3279,24/6/2022
SandAmbient3,Low,Sand,SandAmbient,ambient,cage,1.3002,1.9322,24/6/2022
SandAmbient3,Low,Sand,SandAmbient,ambient,open,2.1928,1.972,29/6/2022
SandAmbient3,Low,Sand,SandAmbient,SGD,cage,2.2591,2.2219,29/6/2022
SandAmbient3,Low,Sand,SandAmbient,ambient,cage,2.653,2.5891,29/6/2022
SandAmbient3,Low,Sand,SandAmbient,SGD,open,2.4588,2.4819,29/6/2022
SandSGD1,High,Sand,SandSGD,ambient,cage,3.5825,3.4083,19/7/2022
SandSGD1,High,Sand,SandSGD,ambient,open,4.7165,4.629,19/7/2022
SandSGD1,High,Sand,SandSGD,SGD,cage,3.9813,3.8874,19/7/2022
SandSGD1,High,Sand,SandSGD,SGD,open,3.0432,2.7071,19/7/2022
SandSGD1,High,Sand,SandSGD,ambient,open,2.1597,1.7997,24/6/2022
SandSGD1,High,Sand,SandSGD,SGD,open,1.6058,1.8608,24/6/2022
SandSGD1,High,Sand,SandSGD,ambient,cage,3.3099,2.7073,24/6/2022
SandSGD1,High,Sand,SandSGD,SGD,cage,1.5025,1.6932,24/6/2022
SandSGD1,High,Sand,SandSGD,ambient,cage,2.1097,2.3791,29/6/2022
SandSGD1,High,Sand,SandSGD,SGD,open,2.4991,2.2914,29/6/2022
SandSGD1,High,Sand,SandSGD,ambient,open,3.4982,3.4887,29/6/2022
SandSGD1,High,Sand,SandSGD,SGD,cage,2.351,2.6815,29/6/2022
SandSGD2,High,Sand,SandSGD,ambient,cage,4.8887,4.5407,19/7/2022
SandSGD2,High,Sand,SandSGD,ambient,open,3.4733,2.9093,19/7/2022
SandSGD2,High,Sand,SandSGD,SGD,cage,2.8435,2.4239,19/7/2022
SandSGD2,High,Sand,SandSGD,SGD,open,4.644,3.7999,19/7/2022
SandSGD2,High,Sand,SandSGD,SGD,open,1.5282,1.8516,24/6/2022
SandSGD2,High,Sand,SandSGD,ambient,open,1.229,1.4221,24/6/2022
SandSGD2,High,Sand,SandSGD,ambient,cage,1.3952,1.6264,24/6/2022
SandSGD2,High,Sand,SandSGD,SGD,cage,1.7596,2.153,24/6/2022
SandSGD2,High,Sand,SandSGD,ambient,open,2.4045,2.2547,29/6/2022
SandSGD2,High,Sand,SandSGD,SGD,open,1.6327,1.5128,29/6/2022
SandSGD2,High,Sand,SandSGD,SGD,cage,2.6709,2.8801,29/6/2022
SandSGD2,High,Sand,SandSGD,ambient,cage,1.6888,1.6172,29/6/2022
SandSGD3,High,Sand,SandSGD,ambient,cage,3.1818,3.2434,19/7/2022
SandSGD3,High,Sand,SandSGD,ambient,open,2.6058,2.505,19/7/2022
SandSGD3,High,Sand,SandSGD,SGD,cage,3.5672,3.1454,19/7/2022
SandSGD3,High,Sand,SandSGD,SGD,open,4.248,3.4373,19/7/2022
SandSGD3,High,Sand,SandSGD,SGD,open,1.1342,1.1775,24/6/2022
SandSGD3,High,Sand,SandSGD,ambient,open,1.0318,1.4263,24/6/2022
SandSGD3,High,Sand,SandSGD,SGD,cage,1.7279,1.9773,24/6/2022
SandSGD3,High,Sand,SandSGD,ambient,cage,2.1589,1.679,24/6/2022
SandSGD3,High,Sand,SandSGD,ambient,open,1.4846,1.4881,29/6/2022
SandSGD3,High,Sand,SandSGD,SGD,cage,3.1144,3.233,29/6/2022
SandSGD3,High,Sand,SandSGD,SGD,open,1.6908,1.6168,29/6/2022
SandSGD3,High,Sand,SandSGD,ambient,cage,2.6349,2.5903,29/6/2022
